nodename	lower	upper	average
1456	2782.77	2430.91	2606.84
1320	2621.74	2221.62	2421.68
1144	2432.88	1974.6	2203.74
1463	2795.06	2446.1	2620.58
1061	2315.83	1863.86	2089.845
1161	2443.05	2024.16	2233.605
1201	2490.51	2082.97	2286.74
1334	2638.34	2259.4	2448.87
1554	2937.99	2618.05	2778.02
1587	2994.35	2682.53	2838.44
1064	2348.1	1801.36	2074.73
1326	2650.27	2198.44	2424.355
1647	3158.18	2831.61	2994.895
1670	3218.67	2922.31	3070.49
1514	2876.69	2517.37	2697.0299999999997
1572	2975.88	2641.73	2808.8050000000003
982	2150.28	1653.4	1901.8400000000001
1141	2411.52	1987.57	2199.545
1322	2612.85	2239.46	2426.1549999999997
930	1979.25	1477.19	1728.22
1083	2325.24	1906.5	2115.87
1025	2243.41	1810.37	2026.8899999999999
1116	2369.72	1968.79	2169.255
1194	2469.18	2086.91	2278.045
1394	2707.96	2358.79	2533.375
1512	2862.25	2534.73	2698.49
1251	2550.58	2138.28	2344.4300000000003
1404	2726.66	2366.24	2546.45
1142	2420.34	1981.42	2200.88
1296	2583.76	2198.33	2391.045
1487	2818.66	2481.54	2650.1
1324	2636.03	2216.62	2426.325
1348	2655.98	2268.67	2462.325
1452	2777.61	2429.12	2603.365
1535	2904.81	2586.56	2745.685
1575	2963.97	2655.06	2809.515
1617	3047.21	2744.1	2895.6549999999997
1697	3302.8	3009.8	3156.3
1707	3352.46	3056.39	3204.425
1467	2823.16	2411.28	2617.2200000000003
1586	3005.3	2662.93	2834.115
1229	2531.31	2076.31	2303.81
1482	2822.05	2455.83	2638.94
1050	2301.87	1825.4	2063.635
1137	2425.63	1959.83	2192.73
1366	2682.35	2278.87	2480.6099999999997
1406	2749.56	2345.81	2547.685
1533	2906.8	2568.25	2737.525
1591	3007.1	2684.71	2845.9049999999997
1636	3102.94	2793.3	2948.12
1688	3271.16	2973.1	3122.13
1053	2351.06	1748.26	2049.66
1584	2997.63	2665.61	2831.62
1660	3186.65	2891.31	3038.98
1516	2881.53	2506.16	2693.8450000000003
1548	2930.03	2596.67	2763.3500000000004
1550	2921.46	2618.35	2769.9049999999997
970	2082.43	1693.68	1888.0549999999998
1051	2245.54	1901.68	2073.61
1065	2263.43	1925.43	2094.43
1090	2304.96	1976.63	2140.795
1103	2326.82	1994.26	2160.54
1164	2396.92	2084.54	2240.73
1208	2445.57	2134.29	2289.9300000000003
1239	2487.28	2184.97	2336.125
1312	2561.73	2266.0	2413.865
973	2078.21	1695.66	1886.935
1049	2233.96	1908.53	2071.245
1149	2372.03	2062.25	2217.1400000000003
1003	2153.66	1812.41	1983.0349999999999
919	1892.76	1445.64	1669.2
953	2032.31	1640.68	1836.495
993	2125.17	1777.01	1951.0900000000001
1076	2272.38	1954.05	2113.215
880	1464.03	999.247	1231.6385
888	1591.74	1147.79	1369.7649999999999
902	1740.35	1322.15	1531.25
976	2073.0	1724.14	1898.5700000000002
1036	2214.88	1892.6	2053.74
913	1844.48	1438.79	1641.635
971	2062.81	1716.91	1889.8600000000001
921	1896.55	1490.6	1693.5749999999998
955	2029.0	1666.64	1847.8200000000002
1013	2168.56	1839.31	2003.935
918	1873.03	1483.05	1678.04
906	1778.86	1357.57	1568.215
941	1976.65	1609.47	1793.06
966	2048.32	1703.79	1876.055
1004	2158.12	1822.01	1990.065
1060	2249.28	1934.35	2091.815
1096	2305.03	1998.47	2151.75
1153	2370.99	2071.03	2221.01
995	2130.74	1781.66	1956.1999999999998
943	1997.49	1597.62	1797.5549999999998
952	2015.92	1636.83	1826.375
932	1936.33	1537.42	1736.875
928	1926.5	1542.22	1734.3600000000001
883	1547.22	1064.06	1305.6399999999999
900	1721.78	1313.25	1517.5149999999999
909	1805.19	1416.34	1610.7649999999999
916	1849.48	1474.57	1662.025
962	2045.43	1699.12	1872.275
1002	2143.57	1811.36	1977.4650000000001
1038	2217.29	1895.72	2056.505
1074	2268.74	1955.28	2112.0099999999998
1114	2326.95	2018.31	2172.63
1170	2403.09	2104.01	2253.55
1214	2448.11	2150.92	2299.5150000000003
1303	2548.4	2254.64	2401.52
