COG	metadata	polarity
COG2118	log_NO2NO3	positive
COG2914	sqrt_iron	positive
COG4046	log_NO2NO3	positive
COG2336	log_PO4	positive
COG0421	log_NO2NO3	negative
COG1324	Mean_Oxygen	negative
COG2114	Mean_Oxygen	negative
COG4132	sqrt_iron	positive
COG4832	log_PO4	positive
COG2068	sqrt_iron	positive
COG2150	log_NO2NO3	positive
COG1349	log_PO4	positive
COG5458	Mean_Oxygen	positive
COG3538	Mean_Oxygen	positive
COG0383	sqrt_iron	positive
COG3875	Mean_Oxygen	negative
COG0750	Mean_Oxygen	negative
COG1022	Mean_Oxygen	negative
COG0301	Mean_Oxygen	negative
COG4701	log_PO4	positive
COG1160	sqrt_iron	negative
COG0398	sqrt_iron	negative
COG2922	sqrt_iron	positive
COG1325	log_NO2NO3	positive
COG0672	sqrt_iron	positive
COG1969	log_PO4	positive
COG1376	sqrt_iron	positive
COG1169	log_NO2NO3	negative
COG1678	Mean_Oxygen	negative
COG3727	Mean_Oxygen	negative
COG1964	Mean_Oxygen	negative
COG4046	Mean_Oxygen	negative
COG1634	log_NO2NO3	positive
COG2703	Mean_Oxygen	negative
COG3274	log_PO4	positive
COG0762	log_PO4	negative
COG0828	Mean_Oxygen	positive
COG5387	Mean_Oxygen	positive
COG0488	log_PO4	positive
COG5267	sqrt_iron	positive
COG1169	sqrt_iron	negative
COG2133	log_NO2NO3	positive
COG2253	Mean_Oxygen	negative
COG4137	log_PO4	positive
COG1416	sqrt_iron	positive
COG4700	sqrt_iron	positive
COG3625	sqrt_iron	positive
COG3546	log_NO2NO3	negative
COG3117	log_PO4	positive
COG0394	log_NO2NO3	positive
COG2102	log_NO2NO3	positive
COG1415	sqrt_iron	positive
COG3615	sqrt_iron	positive
COG3026	sqrt_iron	positive
COG5403	log_NO2NO3	negative
COG1690	Mean_Oxygen	negative
COG4969	Mean_Oxygen	negative
COG4608	sqrt_iron	positive
COG2921	sqrt_iron	positive
COG5484	log_PO4	positive
COG1159	Mean_Oxygen	positive
COG3193	sqrt_iron	positive
COG3573	log_PO4	positive
COG0057	log_PO4	negative
COG0800	Mean_Oxygen	positive
COG1630	log_NO2NO3	positive
COG4970	log_PO4	positive
COG5500	sqrt_iron	positive
COG3063	sqrt_iron	positive
COG1554	Mean_Oxygen	positive
COG0557	Mean_Oxygen	positive
COG5626	Mean_Oxygen	positive
COG0119	Mean_Oxygen	negative
COG4137	sqrt_iron	positive
COG3213	sqrt_iron	positive
COG3527	Mean_Oxygen	negative
COG1319	sqrt_iron	positive
COG1745	log_NO2NO3	positive
COG4552	Mean_Oxygen	negative
COG4533	log_PO4	positive
COG1807	sqrt_iron	negative
COG1221	sqrt_iron	positive
COG3797	log_NO2NO3	negative
COG0507	Mean_Oxygen	positive
COG4968	log_PO4	positive
COG4970	sqrt_iron	positive
COG0239	log_NO2NO3	positive
COG3531	sqrt_iron	positive
COG2859	log_NO2NO3	negative
COG3415	log_PO4	positive
COG2412	log_NO2NO3	positive
