COG	metadata	polarity
COG0754	log_depth	positive
COG4106	size_fraction0.22-3	positive
COG3284	sqrt_iron	positive
COG3167	log_depth	positive
COG0166	log_depth	negative
COG1045	log_depth	negative
COG1047	log_depth	positive
COG1597	log_PO4	negative
COG1699	Mean_Oxygen	negative
COG3256	Mean_Oxygen	negative
COG5642	log_depth	positive
COG0265	Mean_Oxygen	negative
COG3211	sqrt_iron	positive
COG3152	log_depth	positive
COG0353	log_depth	negative
COG0585	log_depth	positive
COG1060	log_depth	positive
COG2176	log_depth	positive
COG3638	log_PO4	negative
COG3066	log_depth	positive
COG0053	sqrt_iron	positive
COG0386	log_depth	negative
COG3318	log_depth	positive
COG5373	log_depth	positive
COG0558	Mean_Oxygen	negative
COG2346	log_depth	positive
COG4373	size_fraction0.22-3	positive
COG2008	sqrt_iron	positive
COG1313	Mean_Oxygen	negative
COG0838	Mean_Oxygen	negative
COG2864	sqrt_iron	positive
COG1733	sqrt_iron	positive
COG2043	log_depth	positive
COG3131	log_depth	positive
COG0493	Mean_Oxygen	negative
COG4138	log_PO4	positive
COG1310	log_depth	positive
COG1314	Mean_Temperature	negative
COG1695	size_fraction0.22-3	positive
COG3967	log_depth	positive
COG0752	log_depth	negative
COG4922	log_PO4	positive
COG2320	log_depth	positive
COG2837	log_depth	positive
COG3615	size_fraction0.22-3	positive
COG3197	log_PO4	positive
COG0478	Mean_Salinity	positive
COG2164	log_depth	positive
COG2247	size_fraction0.22-3	positive
COG1021	log_depth	positive
COG1231	log_depth	positive
COG3773	size_fraction0.22-3	negative
COG4972	log_depth	positive
COG1334	log_depth	positive
COG3187	log_depth	positive
COG3870	size_fraction0.22-3	positive
COG1995	log_depth	negative
COG3040	log_depth	positive
COG2078	Mean_Oxygen	negative
COG0159	log_depth	negative
COG4826	log_depth	positive
COG1283	log_depth	positive
COG5517	log_depth	positive
COG0301	size_fraction0.22-3	positive
COG4502	Mean_Oxygen	negative
COG4981	size_fraction0.22-3	positive
COG4255	log_depth	positive
COG4412	log_depth	positive
COG0762	log_depth	negative
COG1918	Mean_Oxygen	negative
COG2088	log_depth	positive
COG2374	sqrt_iron	positive
COG3942	log_depth	positive
COG4242	sqrt_iron	positive
COG5602	Mean_Oxygen	negative
COG3458	log_depth	positive
COG1355	Mean_Oxygen	negative
COG4568	log_depth	positive
COG5401	log_depth	positive
COG2881	Mean_Salinity	positive
COG3213	Mean_Oxygen	negative
COG4869	log_depth	positive
COG1940	sqrt_iron	positive
COG4271	log_NO2NO3	negative
COG1929	log_depth	positive
COG3593	size_fraction0.22-3	positive
COG5573	Mean_Salinity	positive
COG4287	Mean_Oxygen	negative
COG4214	Mean_Oxygen	positive
COG1512	sqrt_iron	positive
COG4359	sqrt_iron	positive
COG1180	Mean_Oxygen	negative
COG4991	log_depth	positive
COG3656	log_PO4	positive
COG4138	log_depth	positive
COG1643	sqrt_iron	positive
COG3973	log_depth	positive
COG2896	sqrt_iron	positive
COG2375	Mean_Oxygen	positive
COG4856	size_fraction0.22-3	positive
COG4949	log_depth	negative
COG4568	log_PO4	positive
COG1319	log_depth	positive
COG1887	log_PO4	positive
COG0213	log_depth	positive
COG3346	log_depth	negative
COG0412	log_depth	positive
COG2430	Mean_Oxygen	negative
COG5443	log_depth	positive
COG3700	log_depth	positive
COG3166	log_depth	positive
COG3270	log_PO4	positive
COG1134	log_depth	positive
COG0753	log_depth	positive
COG3012	sqrt_iron	positive
COG4759	Mean_Oxygen	negative
COG4474	size_fraction0.22-3	negative
COG1820	log_depth	positive
COG0243	sqrt_iron	positive
COG3608	sqrt_iron	positive
COG1291	log_depth	positive
COG2188	sqrt_iron	positive
COG1742	size_fraction0.22-3	positive
COG3287	log_depth	positive
COG3304	sqrt_iron	positive
COG0311	log_depth	positive
COG0427	log_depth	positive
COG0759	log_depth	negative
COG2335	Mean_Oxygen	positive
COG4953	size_fraction0.22-3	positive
COG2933	log_depth	positive
COG1382	log_depth	positive
COG4413	size_fraction0.22-3	positive
COG1900	sqrt_iron	positive
COG3508	log_depth	positive
COG4334	log_NO2NO3	negative
COG3005	Mean_Oxygen	negative
COG3221	log_PO4	negative
COG1385	log_depth	negative
COG3168	log_depth	positive
COG0531	log_depth	positive
COG2977	Mean_Oxygen	negative
COG3940	log_PO4	positive
COG2043	Mean_Oxygen	negative
COG3656	log_depth	positive
COG3667	log_depth	positive
COG4558	log_PO4	positive
COG5518	log_PO4	positive
COG0507	log_NO2NO3	negative
COG3684	Mean_Oxygen	negative
COG1067	size_fraction0.22-3	positive
COG1688	log_depth	positive
COG4225	log_depth	positive
COG1837	Mean_Oxygen	negative
COG1432	log_depth	positive
COG1363	size_fraction0.22-3	positive
COG5514	log_depth	positive
COG0674	log_depth	positive
COG1062	log_depth	positive
COG3121	log_depth	positive
COG1159	log_depth	negative
COG0276	sqrt_iron	negative
COG1720	log_depth	positive
COG3383	sqrt_iron	positive
