"right.node"	"left.node"	"event"	"left.date"	"right.date"	"midpoint.date"	"left.BT_node"	"left.origin"	"left.leaves_count"	"right.BT_node"	"right.origin"	"right.leaves_count"
"1554"	1554	"spe"	2778.02	2778.02	2778.02	643	"marine_shallow"	27	"643"	"marine_shallow"	27
"1554"	1554	"spe"	2778.02	2778.02	2778.02	643	"marine_shallow"	27	"643"	"marine_shallow"	27
"1642"	1642	"spe"	2983.51	2983.51	2983.51	466	"not_sure"	8	"466"	"not_sure"	8
"1448"	1526	"hgt"	2727.215	2597.055	2662.135	277	"marine_shallow"	59	"469"	"terrestrial"	5
"1448"	1448	"spe"	2597.055	2597.055	2597.055	469	"terrestrial"	5	"469"	"terrestrial"	5
"1057"	1057	"spe"	2077.305	2077.305	2077.305	66	"marine_deep"	2	"66"	"marine_deep"	2
"1713"	1721	"hgt"	3335.31	3257.545	3296.4275	142	"terrestrial"	385	"143"	"terrestrial"	44
"1713"	1713	"spe"	3257.545	3257.545	3257.545	143	"terrestrial"	44	"143"	"terrestrial"	44
"1707"	1707	"spe"	3204.425	3204.425	3204.425	144	"terrestrial"	43	"144"	"terrestrial"	43
"1664"	1679	"los"	3098.275	3045.26	3071.7675	527	"not_sure"	4	"163"	"not_sure"	24
"1453"	1650	"hgt"	3003.555	2600.975	2802.265	93	"marine_shallow"	2	"183"	"marine_deep"	4
"1453"	1650	"los"	3003.555	2600.975	2802.265	93	"marine_shallow"	2	"183"	"marine_deep"	4
"1453"	1453	"spe"	2600.975	2600.975	2600.975	183	"marine_deep"	4	"183"	"marine_deep"	4
