"","mean","median","HPD_lower","HPD_upper","effective_size","start_iteration","stationarity_test","stationarity_pval","staionarity_test_adjusted","adj_stationarity_pval","Halfwidth_test","halfwidth"
"Node4.P.A.",0.0252914477777778,0.0224525,0,0.059136,999.999999999999,101,"passed",0.0751824947947257,"passed",0.160550480044659,"passed",0.00110205193906726
"Node4.P.B.",0.465897997,0.467008,0.453292,0.477056,693.60086582054,1,"passed",0.281945523550929,"passed",0.31069200841542,"passed",0.000499438612704632
"Node4.P.C.",0.50917788,0.508917,0.480543,0.533625,999.999999999999,301,"passed",0.0812042182589169,"passed",0.160550480044659,"passed",0.00100578088062607
"Node5.P.A.",0.035161038,0.0330315,0,0.072693,1000,1,"passed",0.057530012919966,"passed",0.160550480044659,"passed",0.00127670032328181
"Node5.P.B.",0.463451796,0.464684,0.448046,0.476679,1000,1,"passed",0.25245502358995,"passed",0.2821064821092,"passed",0.000484552361624145
"Node5.P.C.",0.501946882857143,0.5017,0.472221,0.526376,1000,301,"passed",0.0905602201052316,"passed",0.160550480044659,"passed",0.00103521950049234
"Node6.P.A.",0.032929822,0.032444,0,0.059666,1000,1,"passed",0.0629153549573601,"passed",0.160550480044659,"passed",0.000980268473126041
"Node6.P.B.",0.465701594,0.4659865,0.454989,0.475583,1101.90843700107,1,"passed",0.417451330728812,"passed",0.443726788209776,"passed",0.000453491204098284
"Node6.P.C.",0.501368589,0.500316,0.479628,0.528546,1000,1,"passed",0.101115383504576,"passed",0.161999063368763,"passed",0.000836142658029103
"Node7.P.A.",0.00723371777777778,0.006686,0,0.015379,999.999999999997,101,"passed",0.0655234720018418,"passed",0.160550480044659,"passed",0.000274166432939643
"Node7.P.B.",0.470670615,0.47159,0.456036,0.480452,1145.5108491243,1,"passed",0.77252219142262,"passed",0.777413393379485,"passed",0.000604377177077244
"Node7.P.C.",0.522009392,0.5206685,0.51014,0.540678,1167.79460695686,1,"passed",0.350964070792077,"passed",0.378112009282373,"passed",0.000670798667519683
"Node8.P.A.",0.00333177111111111,0.0027955,0,0.008334,856.503688635922,101,"passed",0.123250867617463,"passed",0.175212581380115,"passed",0.000175277034387983
"Node8.P.B.",0.470161657,0.468792,0.448583,0.479911,1000,1,"passed",0.710174812627274,"passed",0.716271871488949,"passed",0.00134092699951827
"Node8.P.C.",0.526383312,0.5277255,0.516054,0.547831,1000,1,"passed",0.834448399063612,"passed",0.837859373567402,"passed",0.00135272026728877
"Node9.P.A.",0.00393561111111111,0.0034325,0,0.009158,1000,101,"passed",0.0541274483040991,"passed",0.160550480044659,"passed",0.000187420988355006
"Node9.P.B.",0.474664969,0.469306,0.44991,0.503936,858.335411238522,1,"passed",0.380801122869438,"passed",0.407494904551771,"passed",0.00221900134477643
"Node9.P.C.",0.521187977,0.5265115,0.493998,0.545889,864.451064897587,1,"passed",0.436625204246376,"passed",0.461204574618337,"passed",0.0022023366260499
"Node10.P.A.",0.001357338,0.0007275,0,0.002794,1000,1,"passed",0.103800222967681,"passed",0.163062908406206,"failed",0.000706410933951835
"Node10.P.B.",0.479068651,0.466893,0.44786,0.554747,844.346453078177,1,"passed",0.22796511678194,"passed",0.269449582478041,"passed",0.00340736265996527
"Node10.P.C.",0.519574008,0.5320205,0.4451,0.550918,828.353705038874,1,"passed",0.236568917752339,"passed",0.273281534183484,"passed",0.00346443596834088
