"","mean","median","HPD_lower","HPD_upper","effective_size","start_iteration","stationarity_test","stationarity_pval","staionarity_test_adjusted","adj_stationarity_pval","Halfwidth_test","halfwidth"
"Node841.P.B.",0.031889459,0.030839,0.018521,0.048664,860.915588415305,1,"passed",0.541227079312891,"passed",0.899173959216443,"passed",0.000525903878307506
"Node841.P.C.",0.968030246,0.969114,0.951299,0.9816,867.031376882908,1,"passed",0.559312324784098,"passed",0.912981687754976,"passed",0.000524760735309952
"Node842.P.A.",1.164e-06,1e-06,0,3e-06,192.466812591345,1,"passed",0.140898877561448,"passed",0.453961691487008,"failed",1.58985865197526e-07
"Node842.P.B.",0.00310584,0.0030505,0.001874,0.004361,852.711396009302,1,"passed",0.821498557561663,"passed",0.912981687754976,"passed",4.43174693046946e-05
"Node842.P.C.",0.996892936,0.9969465,0.995639,0.998126,853.788913019901,1,"passed",0.82532158642594,"passed",0.912981687754976,"passed",4.42964009145084e-05
"Node843.P.A.",1.5893e-05,9e-06,2e-06,4.1e-05,156.266889472934,1,"passed",0.189163474913602,"passed",0.453961691487008,"failed",2.01215670302712e-06
"Node843.P.B.",0.010601402,0.0104585,0.006697,0.014397,841.539050356857,1,"passed",0.772286347769583,"passed",0.912981687754976,"passed",0.000135875724190948
"Node843.P.C.",0.989382705,0.989524,0.985595,0.993298,846.116842484297,1,"passed",0.786313663116509,"passed",0.912981687754976,"passed",0.000135545668237485
"Node844.P.A.",2.5591e-05,1.5e-05,4e-06,6.6e-05,153.376681201827,1,"passed",0.188190511830072,"passed",0.453961691487008,"failed",3.2388002284581e-06
"Node844.P.B.",0.013373327,0.0132155,0.008606,0.017946,842.487069309742,1,"passed",0.766059420591906,"passed",0.912981687754976,"passed",0.000164384490171739
"Node844.P.C.",0.986601099,0.9867595,0.982042,0.991387,848.513918726016,1,"passed",0.784925958468011,"passed",0.912981687754976,"passed",0.000163849748272022
"Node845.P.A.",2.0107e-05,1.1e-05,3e-06,5.5e-05,160.577036119656,1,"passed",0.189251659867219,"passed",0.453961691487008,"failed",2.69336530049668e-06
"Node845.P.B.",0.01281997,0.0126165,0.00774,0.017861,831.170746269395,1,"passed",0.759053412251941,"passed",0.912981687754976,"passed",0.000179146665550491
"Node845.P.C.",0.987159899,0.987354,0.98213,0.992255,835.955263378069,1,"passed",0.773216730117274,"passed",0.912981687754976,"passed",0.000178676164746578
"Node846.P.A.",0.000707346,0.000414,0.000145,0.001737,143.567085595334,1,"passed",0.184196650197932,"passed",0.453961691487008,"failed",8.6719111606639e-05
"Node846.P.B.",0.06125253,0.0608355,0.044282,0.078939,813.378555371239,1,"passed",0.652510887808781,"passed",0.912981687754976,"passed",0.000612362135942863
"Node846.P.C.",0.938040127,0.938417,0.920775,0.955385,857.911842091906,1,"passed",0.796528516959677,"passed",0.912981687754976,"passed",0.000595434974286074
"Node847.P.A.",6.319e-06,4e-06,1e-06,1.8e-05,138.199136780609,1,"passed",0.198899447191895,"passed",0.455343217507076,"failed",9.24118942910891e-07
"Node847.P.B.",0.007345084,0.0071775,0.004125,0.010755,833.153278291496,1,"passed",0.799470621765449,"passed",0.912981687754976,"passed",0.000118982658469924
"Node847.P.C.",0.992648597,0.9928145,0.989242,0.995873,835.384692200283,1,"passed",0.805381018393835,"passed",0.912981687754976,"passed",0.000118855887898245
"Node848.P.A.",0.000163996,8.65e-05,2.2e-05,0.000448,158.368111365358,1,"passed",0.187610313612528,"passed",0.453961691487008,"failed",2.20819743332501e-05
"Node848.P.B.",0.034489491,0.0339915,0.022305,0.048165,811.224525440066,1,"passed",0.708216348315924,"passed",0.912981687754976,"passed",0.000462494209759645
"Node848.P.C.",0.96534653,0.9658085,0.951708,0.977569,826.983701673407,1,"passed",0.75553728339446,"passed",0.912981687754976,"passed",0.00045812780292995
"Node849.P.A.",0.001570671,0.0009325,0.000338,0.00378,141.656625710247,1,"passed",0.181487019456918,"passed",0.453961691487008,"failed",0.00018900814806544
