"","mean","median","HPD_lower","HPD_upper","effective_size","start_iteration","stationarity_test","stationarity_pval","staionarity_test_adjusted","adj_stationarity_pval","Halfwidth_test","halfwidth"
"Node457.P.A.",0.131964812,0.130363,0.075695,0.192145,1000,1,"passed",0.0606275845351042,"passed",0.349248945461001,"passed",0.00194875024742036
"Node457.P.B.",0.536773805,0.534693,0.468414,0.615742,1000,1,"passed",0.628824734136343,"passed",0.690534539695883,"passed",0.00241404969037479
"Node457.P.C.",0.331261389,0.3340625,0.21146,0.441947,1000,1,"passed",0.156595092760661,"passed",0.349248945461001,"passed",0.00362554543834462
"Node458.P.A.",0.008098786,0.007255,0.001441,0.016272,1000,1,"passed",0.107377486214707,"passed",0.349248945461001,"passed",0.00026759975529331
"Node458.P.B.",0.10753665,0.1073315,0.068626,0.147569,1000,1,"passed",0.212203329448038,"passed",0.352809672830358,"passed",0.00130229832465147
"Node458.P.C.",0.884364587,0.885144,0.838092,0.931675,999.999999999999,1,"passed",0.186608637116992,"passed",0.349248945461001,"passed",0.00155740181080279
"Node459.P.A.",0.033560882,0.0323975,0.01459,0.055619,1000,1,"passed",0.105193564628861,"passed",0.349248945461001,"passed",0.000692112829724748
"Node459.P.B.",0.183991042,0.184884,0.143763,0.219625,1000,1,"passed",0.272589143529069,"passed",0.393840690436742,"passed",0.00124482056648427
"Node459.P.C.",0.782448092,0.78223,0.726718,0.842478,999.999999999999,1,"passed",0.191764253272832,"passed",0.349248945461001,"passed",0.00190883009799492
"Node460.P.A.",0.013181785,0.012263,0.003727,0.02451,1000,1,"passed",0.10574368709886,"passed",0.349248945461001,"passed",0.000364339567840426
"Node460.P.B.",0.129738853,0.1298835,0.089263,0.169484,999.999999999999,1,"passed",0.222237973416105,"passed",0.359036383585933,"passed",0.00132206291711425
"Node460.P.C.",0.857079358,0.8574975,0.806614,0.907505,999.999999999999,1,"passed",0.187287480367054,"passed",0.349248945461001,"passed",0.00167218037129961
"Node461.P.A.",0.008453934,0.0077145,0.001599,0.016262,1000,1,"passed",0.101278762747881,"passed",0.349248945461001,"passed",0.000261703463926672
"Node461.P.B.",0.107834808,0.107836,0.071188,0.144889,1000,1,"passed",0.215936844051033,"passed",0.355448366115981,"passed",0.0012147054282918
"Node461.P.C.",0.883711273,0.88443,0.839142,0.927486,1000,1,"passed",0.186631295075163,"passed",0.349248945461001,"passed",0.0014640269338985
"Node462.P.A.",0.034650025,0.0334935,0.015197,0.057108,1000,1,"passed",0.105778437326344,"passed",0.349248945461001,"passed",0.000706414863323852
"Node462.P.B.",0.18594099,0.186833,0.145665,0.221573,999.999999999999,1,"passed",0.273337771741368,"passed",0.394262223898844,"passed",0.00124537133264257
"Node462.P.C.",0.779408959,0.7792075,0.723308,0.839933,999.999999999999,1,"passed",0.191644513751318,"passed",0.349248945461001,"passed",0.00192348885949152
"Node463.P.A.",0.501355989,0.495105,0.469807,0.570045,1000,1,"passed",0.494908009433624,"passed",0.576036300805323,"passed",0.0018345813433881
"Node463.P.B.",0.443453969,0.4484265,0.398033,0.473742,1000,1,"passed",0.787740772102858,"passed",0.823745544234982,"passed",0.00143562110052762
"Node463.P.C.",0.055190057,0.055585,0.028136,0.082904,999.999999999999,1,"passed",0.429499676861481,"passed",0.514717866714949,"passed",0.000845262067488646
"Node464.P.A.",0.760720507,0.7551955,0.706463,0.829971,1000,1,"passed",0.37302793284153,"passed",0.466542389776955,"passed",0.00202772721641409
"Node464.P.B.",0.234143098,0.240106,0.172054,0.284262,999.999999999999,1,"passed",0.340635195585355,"passed",0.441889300115022,"passed",0.00192358495909474
"Node464.P.C.",0.005136403,0.0047455,0.000623,0.009882,999.999999999998,1,"passed",0.857857708767211,"passed",0.87682658409645,"passed",0.000157348063052699
"Node465.P.A.",0.010654517,0.0091405,0.001234,0.023183,1000,1,"passed",0.118304734868002,"passed",0.349248945461001,"passed",0.000412265679543651
"Node465.P.B.",0.109147938,0.1083055,0.060084,0.153687,1000,1,"passed",0.216520001195781,"passed",0.355891003416868,"passed",0.00156297576502657
"Node465.P.C.",0.880197515,0.8825055,0.821899,0.937988,1000,1,"passed",0.186839005768301,"passed",0.349248945461001,"passed",0.00195254187422127
"Node466.P.A.",0.024554037,0.0226985,0.005348,0.045426,1000,1,"passed",0.112737053097619,"passed",0.349248945461001,"passed",0.000701834723631103
